epoch	categorical_accuracy	loss	lr	mean_iou	precision_1	recall_1	val_categorical_accuracy	val_loss	val_mean_iou	val_precision_1	val_recall_1
45	0.79834265	0.03158621404420685	3.3000002e-12	0.5388394	0.7734338	0.9681227	0.9887837171554565	0.03018184006214142	0.8942925333976746	0.9887837171554565	0.9887837171554565
46	0.80230325	0.0324000456445926	3.3000002e-12	0.5408672	0.77951133	0.96773994	0.9887769818305969	0.0367281511425972	0.8964601159095764	0.9887769818305969	0.9887769818305969
47	0.80391186	0.032446357497089615	3.3000002e-12	0.54519343	0.78176117	0.96747404	0.9890404939651489	0.02916787937283516	0.8969473838806152	0.9890404939651489	0.9890404939651489
48	0.79892004	0.03180121353550537	3.3000002e-12	0.538823	0.77504945	0.96798444	0.9888591766357422	0.024840768426656723	0.8971491456031799	0.9888591766357422	0.9888591766357422
49	0.81100005	0.03288054743127243	3.3000004e-14	0.55440927	0.78931004	0.96742296	0.9889754056930542	0.02434103935956955	0.8968221545219421	0.9889754056930542	0.9889754056930542
50	0.80613256	0.03230370601286759	3.3000004e-14	0.54567766	0.7843032	0.9678108	0.9887576699256897	0.027765924111008644	0.8952133655548096	0.9887576699256897	0.9887576699256897
51	0.8027775	0.03221696222553382	3.3000004e-14	0.54476416	0.7792839	0.9677307	0.9888498187065125	0.028384080156683922	0.8954424858093262	0.9888498187065125	0.9888497591018677
52	0.80062443	0.03198741089451958	3.3000004e-14	0.53925097	0.7771471	0.96774894	0.9888573288917542	0.03463849052786827	0.8964630961418152	0.9888573288917542	0.9888573288917542
53	0.80178106	0.031800896785146485	3.3000004e-14	0.53510153	0.7789216	0.96824384	0.9889360070228577	0.03232593834400177	0.8956920504570007	0.9889360070228577	0.9889360070228577
54	0.80145377	0.03221118983787459	3.3000004e-16	0.54123104	0.777595	0.9675855	0.9888952970504761	0.03187253326177597	0.8968809247016907	0.9888952970504761	0.9888952970504761
55	0.8019347	0.0325594383317071	3.3000004e-16	0.543939	0.77969223	0.9675458	0.9891006350517273	0.02432764135301113	0.896965742111206	0.9891006350517273	0.9891006350517273
